"","x"
"276",456.434084999134
"277",457.261254468275
"278",456.669048833327
"279",462.909465604519
"280",454.863431774799
"281",457.395448351102
"282",458.524793522128
"283",449.25999808853
"284",451.242463175763
"285",453.244034012303
"286",467.437853255115
"287",473.421995652076
"288",459.387615628355
"289",461.495458947331
"290",455.8877721493
"291",455.501079092944
"292",468.931685460493
"293",462.042521466039
"294",461.816068942663
"295",471.860727330081
"296",458.813470360116
"297",469.362201766416
"298",473.038030467537
"299",479.351692950461
"300",472.169320208271
"301",453.303540297945
"302",452.024248182531
"303",468.720616459481
"304",471.543011827432
"305",476.919891000682
"306",480.952273037232
"307",482.199505077156
"308",483.321204447693
"309",484.179531643094
"310",467.571382565705
"311",461.720151354221
"312",460.267130540192
"313",472.255872002965
"314",459.925390180514
"315",477.568752988721
"316",479.407251319412
"317",476.993423736918
"318",477.859474054121
"319",484.037721334599
"320",484.069222300999
"321",477.158921476186
"322",480.914745549082
"323",463.027645253045
"324",468.040944166206
"325",478.345471001035
"326",480.290111990275
"327",469.936163918711
"328",480.068629798529
"329",497.082018950355
"330",491.867454059234
"331",482.35084057859
"332",494.766840266475
"333",491.992520433961
"334",491.152289100535
"335",490.919659675312
"336",513.952747876572
"337",496.204797567019
"338",485.05619083349
"339",491.88118228482
"340",490.543477710156
"341",485.42987162933
"342",476.121262373947
"343",485.632147396887
"344",484.004284400243
"345",477.044559870485
"346",479.091473533246
"347",463.191076194608
"348",457.716622409158
"349",465.409844775182
"350",464.416987522977
"351",485.651629481352
"352",489.746104517536
"353",484.995779535692
"354",490.227734185597
"355",490.071149834478
"356",482.374867044663
"357",492.810205424662
"358",488.218902288463
"359",495.56568109678
"360",489.175506216051
"361",492.335682907123
"362",504.108835343367
"363",491.669372573997
"364",488.258087446759
"365",478.170504205461
"366",477.304471095695
"367",483.305013514866
"368",491.92850622588
"369",486.039576986933
"370",487.015834317272
"371",492.259073705907
"372",490.834595585919
"373",499.55767962948
"374",505.84175081587
"375",488.746490753469
"376",495.332392214631
"377",509.26037233135
"378",494.891656616437
"379",489.019406523557
"380",485.903215415269
"381",496.264884287949
"382",499.351489310016
"383",500.194687597645
"384",499.407523006366
"385",499.175679413001
"386",493.612386223651
"387",508.111385289505
"388",494.979402140108
"389",503.140625682122
"390",505.05722950019
"391",503.440874359518
"392",502.099262958542
"393",499.899011036865
"394",496.732907188375
"395",492.772874070003
"396",505.004515483557
"397",470.027040565974
"398",485.616420794096
"399",496.705909571728
"400",493.539543628416
"401",496.180102834163
"402",496.772413168955
"403",504.363684803327
"404",503.775004238802
"405",494.115227762783
"406",508.961829943781
"407",493.400675305153
"408",486.43967549114
"409",484.903209825282
"410",520.20116415475
"411",494.663097478224
"412",509.719504953656
"413",503.632889917909
"414",499.444593021959
"415",495.191088758996
"416",506.412990675268
"417",510.233681412288
"418",497.080445784772
"419",493.97656189101
"420",498.108432503002
"421",494.593731136167
"422",491.289453290969
"423",499.237103903645
"424",500.771418092067
"425",489.548466036521
"426",488.60475971469
"427",479.923810264637
"428",469.736846087742
"429",463.11680890405
"430",479.099500567695
"431",479.646510479679
"432",471.277686170508
"433",472.448571786813
"434",455.374283638058
"435",454.76061417936
"436",453.336822309012
"437",442.162540499509
"438",443.272352246939
"439",430.884566093801
"440",443.69772940508
"441",442.068950501989
"442",449.483461459888
"443",441.250943146947
"444",464.641581210502
"445",467.790622519969
"446",470.496406693377
"447",459.876503866293
"448",455.643296587197
"449",468.449342595414
"450",473.20735292055
"451",466.364828425714
"452",473.216174361062
"453",466.101553947815
"454",449.009540230357
"455",454.8692068289
"456",478.96678420435
"457",472.510555418459
"458",454.126048858981
"459",456.337366226372
"460",456.579272598106
"461",457.803894527165
"462",459.268738542961
"463",461.332729784029
"464",458.913814555073
"465",450.040648513193
"466",447.252737470507
"467",442.680657747695
"468",432.861863014614
"469",425.489963367868
"470",424.583488862558
"471",409.962458491995
"472",430.80197960071
"473",443.272852386471
"474",441.596369109804
"475",452.352475154095
"476",441.572681982119
"477",437.987617052499
"478",441.406403424599
"479",446.044704159547
"480",427.905115709647
"481",436.774913924435
"482",442.199195132462
"483",460.201055365659
